2026-02-19 07:40:53 - src.config - INFO - Production configuration loaded successfully.
2026-02-19 07:40:53 - src.database.db_manager - INFO - Initializing connection pool on 127.0.0.1:5433...
2026-02-19 07:40:53 - src.database.db_manager - INFO - PostgreSQL connection pool established.
2026-02-19 07:40:53 - src.database.db_manager - INFO - Database schema verified/created.
2026-02-19 07:40:59 - src.config - INFO - Production configuration loaded successfully.
2026-02-19 07:40:59 - src.database.db_manager - INFO - Initializing connection pool on 127.0.0.1:5433...
2026-02-19 07:40:59 - src.database.db_manager - INFO - PostgreSQL connection pool established.
2026-02-19 07:40:59 - src.database.db_manager - INFO - Database schema verified/created.
2026-02-19 07:41:03 - src.producer.simulator - INFO - Kafka Producer initialized for topic: customer_heartbeats
2026-02-19 07:41:03 - src.producer.simulator - INFO - Starting simulation with 15 customers...
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 71 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 89 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 91 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 122 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 71 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 97 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 98 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 170 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 99 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 101 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 114 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 87 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 136 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 73 BPM
2026-02-19 07:41:03 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 89 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 100 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 62 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 89 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 91 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 123 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 80 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 117 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 81 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 66 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 90 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 84 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 168 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 89 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 93 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 85 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 75 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 88 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 60 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 62 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 82 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 64 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 68 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 81 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 86 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 80 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 80 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 66 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 72 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 95 BPM
2026-02-19 07:41:04 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 112 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 69 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 82 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 74 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 91 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 85 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 97 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 125 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 105 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 92 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 75 BPM
